Site,Parameter,Date (LST),Value
Chengdu,PM2.5,1/1/2015 0:00,152
Chengdu,PM2.5,1/1/2015 1:00,130
Chengdu,PM2.5,1/1/2015 2:00,125
Chengdu,PM2.5,1/1/2015 3:00,131
Chengdu,PM2.5,1/1/2015 4:00,133
Chengdu,PM2.5,1/1/2015 5:00,133
Chengdu,PM2.5,1/1/2015 6:00,131
Chengdu,PM2.5,1/1/2015 7:00,142
Chengdu,PM2.5,1/1/2015 8:00,154
Chengdu,PM2.5,1/1/2015 9:00,153
Chengdu,PM2.5,1/1/2015 10:00,172
Chengdu,PM2.5,1/1/2015 11:00,177
Chengdu,PM2.5,1/1/2015 12:00,195
Chengdu,PM2.5,1/1/2015 13:00,208
Chengdu,PM2.5,1/1/2015 14:00,210
Chengdu,PM2.5,1/1/2015 15:00,206
Chengdu,PM2.5,1/1/2015 16:00,196
Chengdu,PM2.5,1/1/2015 17:00,180
Chengdu,PM2.5,1/1/2015 18:00,190
Chengdu,PM2.5,1/1/2015 19:00,189
Chengdu,PM2.5,1/1/2015 20:00,175
Chengdu,PM2.5,1/1/2015 21:00,195
Chengdu,PM2.5,1/1/2015 22:00,201
Chengdu,PM2.5,1/1/2015 23:00,184
Chengdu,PM2.5,1/2/2015 0:00,163
Chengdu,PM2.5,1/2/2015 1:00,169
Chengdu,PM2.5,1/2/2015 2:00,175
Chengdu,PM2.5,1/2/2015 3:00,171
Chengdu,PM2.5,1/2/2015 4:00,169
Chengdu,PM2.5,1/2/2015 5:00,171
Chengdu,PM2.5,1/2/2015 6:00,162
Chengdu,PM2.5,1/2/2015 7:00,166
Chengdu,PM2.5,1/2/2015 8:00,167
Chengdu,PM2.5,1/2/2015 9:00,164
Chengdu,PM2.5,1/2/2015 10:00,183
Chengdu,PM2.5,1/2/2015 11:00,189
Chengdu,PM2.5,1/2/2015 12:00,197
Chengdu,PM2.5,1/2/2015 13:00,206
Chengdu,PM2.5,1/2/2015 14:00,209
Chengdu,PM2.5,1/2/2015 15:00,202
Chengdu,PM2.5,1/2/2015 16:00,208
Chengdu,PM2.5,1/2/2015 17:00,201
Chengdu,PM2.5,1/2/2015 18:00,200
Chengdu,PM2.5,1/2/2015 19:00,203
Chengdu,PM2.5,1/2/2015 20:00,222
Chengdu,PM2.5,1/2/2015 21:00,216
Chengdu,PM2.5,1/2/2015 22:00,233
Chengdu,PM2.5,1/2/2015 23:00,232
Chengdu,PM2.5,1/3/2015 0:00,186
Chengdu,PM2.5,1/3/2015 1:00,174
Chengdu,PM2.5,1/3/2015 2:00,193
Chengdu,PM2.5,1/3/2015 3:00,211
Chengdu,PM2.5,1/3/2015 4:00,196
Chengdu,PM2.5,1/3/2015 5:00,193
Chengdu,PM2.5,1/3/2015 6:00,196
Chengdu,PM2.5,1/3/2015 7:00,191
Chengdu,PM2.5,1/3/2015 8:00,183
Chengdu,PM2.5,1/3/2015 9:00,169
Chengdu,PM2.5,1/3/2015 10:00,162
Chengdu,PM2.5,1/3/2015 11:00,170
Chengdu,PM2.5,1/3/2015 12:00,168
Chengdu,PM2.5,1/3/2015 13:00,170
Chengdu,PM2.5,1/3/2015 14:00,173
Chengdu,PM2.5,1/3/2015 15:00,188
Chengdu,PM2.5,1/3/2015 16:00,168
Chengdu,PM2.5,1/3/2015 17:00,167
Chengdu,PM2.5,1/3/2015 18:00,152
Chengdu,PM2.5,1/3/2015 19:00,154
Chengdu,PM2.5,1/3/2015 20:00,156
Chengdu,PM2.5,1/3/2015 21:00,158
Chengdu,PM2.5,1/3/2015 22:00,160
Chengdu,PM2.5,1/3/2015 23:00,157
Chengdu,PM2.5,1/4/2015 0:00,158
Chengdu,PM2.5,1/4/2015 1:00,160
Chengdu,PM2.5,1/4/2015 2:00,162
Chengdu,PM2.5,1/4/2015 3:00,174
Chengdu,PM2.5,1/4/2015 4:00,166
Chengdu,PM2.5,1/4/2015 5:00,173
Chengdu,PM2.5,1/4/2015 6:00,171
Chengdu,PM2.5,1/4/2015 7:00,178
Chengdu,PM2.5,1/4/2015 8:00,182
Chengdu,PM2.5,1/4/2015 9:00,191
Chengdu,PM2.5,1/4/2015 10:00,198
Chengdu,PM2.5,1/4/2015 11:00,202
Chengdu,PM2.5,1/4/2015 12:00,201
Chengdu,PM2.5,1/4/2015 13:00,195
Chengdu,PM2.5,1/4/2015 14:00,173
Chengdu,PM2.5,1/4/2015 15:00,155
Chengdu,PM2.5,1/4/2015 16:00,196
Chengdu,PM2.5,1/4/2015 17:00,232
Chengdu,PM2.5,1/4/2015 18:00,220
Chengdu,PM2.5,1/4/2015 19:00,233
Chengdu,PM2.5,1/4/2015 20:00,231
Chengdu,PM2.5,1/4/2015 21:00,230
Chengdu,PM2.5,1/4/2015 22:00,198
Chengdu,PM2.5,1/4/2015 23:00,161
Chengdu,PM2.5,1/5/2015 0:00,140
Chengdu,PM2.5,1/5/2015 1:00,153
Chengdu,PM2.5,1/5/2015 2:00,137
Chengdu,PM2.5,1/5/2015 3:00,145
Chengdu,PM2.5,1/5/2015 4:00,164
Chengdu,PM2.5,1/5/2015 5:00,135
Chengdu,PM2.5,1/5/2015 6:00,107
Chengdu,PM2.5,1/5/2015 7:00,97
Chengdu,PM2.5,1/5/2015 8:00,82
Chengdu,PM2.5,1/5/2015 9:00,82
Chengdu,PM2.5,1/5/2015 10:00,86
Chengdu,PM2.5,1/5/2015 11:00,115
Chengdu,PM2.5,1/5/2015 12:00,129
Chengdu,PM2.5,1/5/2015 13:00,130
Chengdu,PM2.5,1/5/2015 14:00,134
Chengdu,PM2.5,1/5/2015 15:00,148
Chengdu,PM2.5,1/5/2015 16:00,143
Chengdu,PM2.5,1/5/2015 17:00,164
Chengdu,PM2.5,1/5/2015 18:00,179
Chengdu,PM2.5,1/5/2015 19:00,189
Chengdu,PM2.5,1/5/2015 20:00,188
Chengdu,PM2.5,1/5/2015 21:00,212
Chengdu,PM2.5,1/5/2015 22:00,213
Chengdu,PM2.5,1/5/2015 23:00,197
Chengdu,PM2.5,1/6/2015 0:00,214
Chengdu,PM2.5,1/6/2015 1:00,109
Chengdu,PM2.5,1/6/2015 2:00,80
Chengdu,PM2.5,1/6/2015 3:00,81
Chengdu,PM2.5,1/6/2015 4:00,43
Chengdu,PM2.5,1/6/2015 5:00,30
Chengdu,PM2.5,1/6/2015 6:00,23
Chengdu,PM2.5,1/6/2015 7:00,17
Chengdu,PM2.5,1/6/2015 8:00,15
Chengdu,PM2.5,1/6/2015 9:00,22
Chengdu,PM2.5,1/6/2015 10:00,24
Chengdu,PM2.5,1/6/2015 11:00,25
Chengdu,PM2.5,1/6/2015 12:00,25
Chengdu,PM2.5,1/6/2015 13:00,21
Chengdu,PM2.5,1/6/2015 14:00,30
Chengdu,PM2.5,1/6/2015 15:00,27
Chengdu,PM2.5,1/6/2015 16:00,27
Chengdu,PM2.5,1/6/2015 17:00,35
Chengdu,PM2.5,1/6/2015 18:00,53
Chengdu,PM2.5,1/6/2015 19:00,52
Chengdu,PM2.5,1/6/2015 20:00,59
Chengdu,PM2.5,1/6/2015 21:00,59
Chengdu,PM2.5,1/6/2015 22:00,59
Chengdu,PM2.5,1/6/2015 23:00,65
Chengdu,PM2.5,1/7/2015 0:00,77
Chengdu,PM2.5,1/7/2015 1:00,73
Chengdu,PM2.5,1/7/2015 2:00,80
Chengdu,PM2.5,1/7/2015 3:00,105
Chengdu,PM2.5,1/7/2015 4:00,104
Chengdu,PM2.5,1/7/2015 5:00,71
Chengdu,PM2.5,1/7/2015 6:00,65
Chengdu,PM2.5,1/7/2015 7:00,75
Chengdu,PM2.5,1/7/2015 8:00,84
Chengdu,PM2.5,1/7/2015 9:00,83
Chengdu,PM2.5,1/7/2015 10:00,71
Chengdu,PM2.5,1/7/2015 11:00,67
Chengdu,PM2.5,1/7/2015 12:00,47
Chengdu,PM2.5,1/7/2015 13:00,60
Chengdu,PM2.5,1/7/2015 14:00,60
Chengdu,PM2.5,1/7/2015 15:00,74
Chengdu,PM2.5,1/7/2015 16:00,67
Chengdu,PM2.5,1/7/2015 17:00,64
Chengdu,PM2.5,1/7/2015 18:00,73
Chengdu,PM2.5,1/7/2015 19:00,80
Chengdu,PM2.5,1/7/2015 20:00,77
Chengdu,PM2.5,1/7/2015 21:00,71
Chengdu,PM2.5,1/7/2015 22:00,85
Chengdu,PM2.5,1/7/2015 23:00,80
Chengdu,PM2.5,1/8/2015 0:00,87
Chengdu,PM2.5,1/8/2015 1:00,78
Chengdu,PM2.5,1/8/2015 2:00,106
Chengdu,PM2.5,1/8/2015 3:00,113
Chengdu,PM2.5,1/8/2015 4:00,129
Chengdu,PM2.5,1/8/2015 5:00,105
Chengdu,PM2.5,1/8/2015 6:00,98
Chengdu,PM2.5,1/8/2015 7:00,88
Chengdu,PM2.5,1/8/2015 8:00,83
Chengdu,PM2.5,1/8/2015 9:00,75
Chengdu,PM2.5,1/8/2015 10:00,80
Chengdu,PM2.5,1/8/2015 11:00,85
Chengdu,PM2.5,1/8/2015 12:00,93
Chengdu,PM2.5,1/8/2015 13:00,84
Chengdu,PM2.5,1/8/2015 14:00,61
Chengdu,PM2.5,1/8/2015 15:00,68
Chengdu,PM2.5,1/8/2015 16:00,71
Chengdu,PM2.5,1/8/2015 17:00,75
Chengdu,PM2.5,1/8/2015 18:00,111
Chengdu,PM2.5,1/8/2015 19:00,134
Chengdu,PM2.5,1/8/2015 20:00,120
Chengdu,PM2.5,1/8/2015 21:00,111
Chengdu,PM2.5,1/8/2015 22:00,107
Chengdu,PM2.5,1/8/2015 23:00,106
Chengdu,PM2.5,1/9/2015 0:00,101
Chengdu,PM2.5,1/9/2015 1:00,109
Chengdu,PM2.5,1/9/2015 2:00,110
Chengdu,PM2.5,1/9/2015 3:00,110
Chengdu,PM2.5,1/9/2015 4:00,114
Chengdu,PM2.5,1/9/2015 5:00,101
Chengdu,PM2.5,1/9/2015 6:00,111
Chengdu,PM2.5,1/9/2015 7:00,117
Chengdu,PM2.5,1/9/2015 8:00,120
Chengdu,PM2.5,1/9/2015 9:00,112
Chengdu,PM2.5,1/9/2015 10:00,122
Chengdu,PM2.5,1/9/2015 11:00,127
Chengdu,PM2.5,1/9/2015 12:00,115
Chengdu,PM2.5,1/9/2015 13:00,115
Chengdu,PM2.5,1/9/2015 14:00,104
Chengdu,PM2.5,1/9/2015 15:00,64
Chengdu,PM2.5,1/9/2015 16:00,85
Chengdu,PM2.5,1/9/2015 17:00,102
Chengdu,PM2.5,1/9/2015 18:00,104
Chengdu,PM2.5,1/9/2015 19:00,108
Chengdu,PM2.5,1/9/2015 20:00,101
Chengdu,PM2.5,1/9/2015 21:00,99
Chengdu,PM2.5,1/9/2015 22:00,104
Chengdu,PM2.5,1/9/2015 23:00,105
Chengdu,PM2.5,1/10/2015 0:00,77
Chengdu,PM2.5,1/10/2015 1:00,79
Chengdu,PM2.5,1/10/2015 2:00,88
Chengdu,PM2.5,1/10/2015 3:00,94
Chengdu,PM2.5,1/10/2015 4:00,95
Chengdu,PM2.5,1/10/2015 5:00,91
Chengdu,PM2.5,1/10/2015 6:00,94
Chengdu,PM2.5,1/10/2015 7:00,93
Chengdu,PM2.5,1/10/2015 8:00,90
Chengdu,PM2.5,1/10/2015 9:00,86
Chengdu,PM2.5,1/10/2015 10:00,90
Chengdu,PM2.5,1/10/2015 11:00,102
Chengdu,PM2.5,1/10/2015 12:00,99
Chengdu,PM2.5,1/10/2015 13:00,98
Chengdu,PM2.5,1/10/2015 14:00,101
Chengdu,PM2.5,1/10/2015 15:00,97
Chengdu,PM2.5,1/10/2015 16:00,111
Chengdu,PM2.5,1/10/2015 17:00,112
Chengdu,PM2.5,1/10/2015 18:00,115
Chengdu,PM2.5,1/10/2015 19:00,110
Chengdu,PM2.5,1/10/2015 20:00,103
Chengdu,PM2.5,1/10/2015 21:00,110
Chengdu,PM2.5,1/10/2015 22:00,105
Chengdu,PM2.5,1/10/2015 23:00,109
Chengdu,PM2.5,1/11/2015 0:00,130
Chengdu,PM2.5,1/11/2015 1:00,161
Chengdu,PM2.5,1/11/2015 2:00,176
Chengdu,PM2.5,1/11/2015 3:00,181
Chengdu,PM2.5,1/11/2015 4:00,181
Chengdu,PM2.5,1/11/2015 5:00,167
Chengdu,PM2.5,1/11/2015 6:00,155
Chengdu,PM2.5,1/11/2015 7:00,150
Chengdu,PM2.5,1/11/2015 8:00,146
Chengdu,PM2.5,1/11/2015 9:00,145
Chengdu,PM2.5,1/11/2015 10:00,151
Chengdu,PM2.5,1/11/2015 11:00,143
Chengdu,PM2.5,1/11/2015 12:00,148
Chengdu,PM2.5,1/11/2015 13:00,132
Chengdu,PM2.5,1/11/2015 14:00,123
Chengdu,PM2.5,1/11/2015 15:00,142
Chengdu,PM2.5,1/11/2015 16:00,135
Chengdu,PM2.5,1/11/2015 17:00,147
Chengdu,PM2.5,1/11/2015 18:00,142
Chengdu,PM2.5,1/11/2015 19:00,113
Chengdu,PM2.5,1/11/2015 20:00,117
Chengdu,PM2.5,1/11/2015 21:00,124
Chengdu,PM2.5,1/11/2015 22:00,101
Chengdu,PM2.5,1/11/2015 23:00,81
Chengdu,PM2.5,1/12/2015 0:00,101
Chengdu,PM2.5,1/12/2015 1:00,110
Chengdu,PM2.5,1/12/2015 2:00,104
Chengdu,PM2.5,1/12/2015 3:00,103
Chengdu,PM2.5,1/12/2015 4:00,109
Chengdu,PM2.5,1/12/2015 5:00,116
Chengdu,PM2.5,1/12/2015 6:00,112
Chengdu,PM2.5,1/12/2015 7:00,99
Chengdu,PM2.5,1/12/2015 8:00,95
Chengdu,PM2.5,1/12/2015 9:00,95
Chengdu,PM2.5,1/12/2015 10:00,104
Chengdu,PM2.5,1/12/2015 11:00,115
Chengdu,PM2.5,1/12/2015 12:00,123
Chengdu,PM2.5,1/12/2015 13:00,97
Chengdu,PM2.5,1/12/2015 14:00,91
Chengdu,PM2.5,1/12/2015 15:00,98
Chengdu,PM2.5,1/12/2015 16:00,105
Chengdu,PM2.5,1/12/2015 17:00,133
Chengdu,PM2.5,1/12/2015 18:00,174
Chengdu,PM2.5,1/12/2015 19:00,190
Chengdu,PM2.5,1/12/2015 20:00,215
Chengdu,PM2.5,1/12/2015 21:00,233
Chengdu,PM2.5,1/12/2015 22:00,217
Chengdu,PM2.5,1/12/2015 23:00,177
Chengdu,PM2.5,1/13/2015 0:00,170
Chengdu,PM2.5,1/13/2015 1:00,183
Chengdu,PM2.5,1/13/2015 2:00,172
Chengdu,PM2.5,1/13/2015 3:00,182
Chengdu,PM2.5,1/13/2015 4:00,177
Chengdu,PM2.5,1/13/2015 5:00,182
Chengdu,PM2.5,1/13/2015 6:00,188
Chengdu,PM2.5,1/13/2015 7:00,206
Chengdu,PM2.5,1/13/2015 8:00,217
Chengdu,PM2.5,1/13/2015 9:00,226
Chengdu,PM2.5,1/13/2015 10:00,229
Chengdu,PM2.5,1/13/2015 11:00,211
Chengdu,PM2.5,1/13/2015 12:00,220
Chengdu,PM2.5,1/13/2015 13:00,216
Chengdu,PM2.5,1/13/2015 14:00,222
Chengdu,PM2.5,1/13/2015 15:00,218
Chengdu,PM2.5,1/13/2015 16:00,213
Chengdu,PM2.5,1/13/2015 17:00,213
Chengdu,PM2.5,1/13/2015 18:00,235
Chengdu,PM2.5,1/13/2015 19:00,262
Chengdu,PM2.5,1/13/2015 20:00,288
Chengdu,PM2.5,1/13/2015 21:00,246
Chengdu,PM2.5,1/13/2015 22:00,197
Chengdu,PM2.5,1/13/2015 23:00,170
Chengdu,PM2.5,1/14/2015 0:00,153
Chengdu,PM2.5,1/14/2015 1:00,154
Chengdu,PM2.5,1/14/2015 2:00,156
Chengdu,PM2.5,1/14/2015 3:00,155
Chengdu,PM2.5,1/14/2015 4:00,161
Chengdu,PM2.5,1/14/2015 5:00,164
Chengdu,PM2.5,1/14/2015 6:00,180
Chengdu,PM2.5,1/14/2015 7:00,185
Chengdu,PM2.5,1/14/2015 8:00,215
Chengdu,PM2.5,1/14/2015 9:00,216
Chengdu,PM2.5,1/14/2015 10:00,200
Chengdu,PM2.5,1/14/2015 11:00,175
Chengdu,PM2.5,1/14/2015 12:00,180
Chengdu,PM2.5,1/14/2015 13:00,230
Chengdu,PM2.5,1/14/2015 14:00,240
Chengdu,PM2.5,1/14/2015 15:00,251
Chengdu,PM2.5,1/14/2015 16:00,239
Chengdu,PM2.5,1/14/2015 17:00,243
Chengdu,PM2.5,1/14/2015 18:00,262
Chengdu,PM2.5,1/14/2015 19:00,261
Chengdu,PM2.5,1/14/2015 20:00,262
Chengdu,PM2.5,1/14/2015 21:00,262
Chengdu,PM2.5,1/14/2015 22:00,265
Chengdu,PM2.5,1/14/2015 23:00,262
Chengdu,PM2.5,1/15/2015 0:00,254
Chengdu,PM2.5,1/15/2015 1:00,251
Chengdu,PM2.5,1/15/2015 2:00,249
Chengdu,PM2.5,1/15/2015 3:00,254
Chengdu,PM2.5,1/15/2015 4:00,261
Chengdu,PM2.5,1/15/2015 5:00,257
Chengdu,PM2.5,1/15/2015 6:00,257
Chengdu,PM2.5,1/15/2015 7:00,263
Chengdu,PM2.5,1/15/2015 8:00,274
Chengdu,PM2.5,1/15/2015 9:00,274
Chengdu,PM2.5,1/15/2015 10:00,335
Chengdu,PM2.5,1/15/2015 11:00,349
Chengdu,PM2.5,1/15/2015 12:00,326
Chengdu,PM2.5,1/15/2015 13:00,294
Chengdu,PM2.5,1/15/2015 14:00,269
Chengdu,PM2.5,1/15/2015 15:00,253
Chengdu,PM2.5,1/15/2015 16:00,212
Chengdu,PM2.5,1/15/2015 17:00,188
Chengdu,PM2.5,1/15/2015 18:00,186
Chengdu,PM2.5,1/15/2015 19:00,184
Chengdu,PM2.5,1/15/2015 20:00,174
Chengdu,PM2.5,1/15/2015 21:00,189
Chengdu,PM2.5,1/15/2015 22:00,189
Chengdu,PM2.5,1/15/2015 23:00,200
Chengdu,PM2.5,1/16/2015 0:00,172
Chengdu,PM2.5,1/16/2015 1:00,167
Chengdu,PM2.5,1/16/2015 2:00,153
Chengdu,PM2.5,1/16/2015 3:00,143
Chengdu,PM2.5,1/16/2015 4:00,130
Chengdu,PM2.5,1/16/2015 5:00,137
Chengdu,PM2.5,1/16/2015 6:00,146
Chengdu,PM2.5,1/16/2015 7:00,167
Chengdu,PM2.5,1/16/2015 8:00,162
Chengdu,PM2.5,1/16/2015 9:00,149
Chengdu,PM2.5,1/16/2015 10:00,154
Chengdu,PM2.5,1/16/2015 11:00,120
Chengdu,PM2.5,1/16/2015 12:00,121
Chengdu,PM2.5,1/16/2015 13:00,98
Chengdu,PM2.5,1/16/2015 14:00,81
Chengdu,PM2.5,1/16/2015 15:00,69
Chengdu,PM2.5,1/16/2015 16:00,71
Chengdu,PM2.5,1/16/2015 17:00,90
Chengdu,PM2.5,1/16/2015 18:00,92
Chengdu,PM2.5,1/16/2015 19:00,102
Chengdu,PM2.5,1/16/2015 20:00,107
Chengdu,PM2.5,1/16/2015 21:00,104
Chengdu,PM2.5,1/16/2015 22:00,119
Chengdu,PM2.5,1/16/2015 23:00,132
Chengdu,PM2.5,1/17/2015 0:00,137
Chengdu,PM2.5,1/17/2015 1:00,158
Chengdu,PM2.5,1/17/2015 2:00,159
Chengdu,PM2.5,1/17/2015 3:00,148
Chengdu,PM2.5,1/17/2015 4:00,165
Chengdu,PM2.5,1/17/2015 5:00,149
Chengdu,PM2.5,1/17/2015 6:00,149
Chengdu,PM2.5,1/17/2015 7:00,149
Chengdu,PM2.5,1/17/2015 8:00,157
Chengdu,PM2.5,1/17/2015 9:00,175
Chengdu,PM2.5,1/17/2015 10:00,173
Chengdu,PM2.5,1/17/2015 11:00,203
Chengdu,PM2.5,1/17/2015 12:00,207
Chengdu,PM2.5,1/17/2015 13:00,208
Chengdu,PM2.5,1/17/2015 14:00,227
Chengdu,PM2.5,1/17/2015 15:00,228
Chengdu,PM2.5,1/17/2015 16:00,210
Chengdu,PM2.5,1/17/2015 17:00,206
Chengdu,PM2.5,1/17/2015 18:00,178
Chengdu,PM2.5,1/17/2015 19:00,170
Chengdu,PM2.5,1/17/2015 20:00,185
Chengdu,PM2.5,1/17/2015 21:00,210
Chengdu,PM2.5,1/17/2015 22:00,191
Chengdu,PM2.5,1/17/2015 23:00,187
Chengdu,PM2.5,1/18/2015 0:00,164
Chengdu,PM2.5,1/18/2015 1:00,166
Chengdu,PM2.5,1/18/2015 2:00,122
